date,flow_yolo,height_sac_na,inund_days,inundation,doy1998
1998-01-01,60,16.46,0,0,1
1998-01-02,55,16.46,0,0,2
1998-01-03,50,17.01,0,0,3
1998-01-04,50,19.92,0,0,4
1998-01-05,45,23.06,0,0,5
1998-01-06,40,23.52,0,0,6
1998-01-07,40,22.85,0,0,7
1998-01-08,43,21.43,0,0,8
1998-01-09,48,21.88,0,0,9
1998-01-10,50,21.8,0,0,10
1998-01-11,50,22.93,0,0,11
1998-01-12,43,28.01,0,0,12
1998-01-13,1680,31.21,0,0,13
1998-01-14,2800,32.4,0,0,14
1998-01-15,3144,34.62,1,1,15
1998-01-16,13403,35.53,2,1,16
1998-01-17,27046,35.69,3,1,17
1998-01-18,28938,35.74,4,1,18
1998-01-19,32471,35.96,5,1,19
1998-01-20,33332,35.95,6,1,20
1998-01-21,32097,35.92,7,1,21
1998-01-22,28756,35.85,8,1,22
1998-01-23,23413,35.51,9,1,23
1998-01-24,20175,35.27,10,1,24
1998-01-25,18242,35.12,11,1,25
1998-01-26,16316,34.98,12,1,26
1998-01-27,16600,34.99,13,1,27
1998-01-28,18613,35.2,14,1,28
1998-01-29,22653,35.65,15,1,29
1998-01-30,30288,35.78,16,1,30
1998-01-31,29074,35.73,17,1,31
1998-02-01,27749,35.62,18,1,32
1998-02-02,30294,35.7,19,1,33
1998-02-03,66366,37.05,20,1,34
1998-02-04,108415,37.6,21,1,35
1998-02-05,126315,38.18,22,1,36
1998-02-06,152326,38.29,23,1,37
1998-02-07,164819,38.4,24,1,38
1998-02-08,178521,38.52,25,1,39
1998-02-09,173334,38.51,26,1,40
1998-02-10,162235,38.36,27,1,41
1998-02-11,144431,37.98,28,1,42
1998-02-12,126035,37.52,29,1,43
1998-02-13,114010,37.22,30,1,44
1998-02-14,104800,37.11,31,1,45
1998-02-15,109548,37.25,32,1,46
1998-02-16,100048,37.16,33,1,47
1998-02-17,97407,37.05,34,1,48
1998-02-18,81757,36.86,35,1,49
1998-02-19,74022,36.61,36,1,50
1998-02-20,84223,36.69,37,1,51
1998-02-21,77178,36.76,38,1,52
1998-02-22,99221,37.1,39,1,53
1998-02-23,95937,37.08,40,1,54
1998-02-24,93719,36.95,41,1,55
1998-02-25,81476,36.84,42,1,56
1998-02-26,71547,36.64,43,1,57
1998-02-27,60913,36.43,44,1,58
1998-02-28,51680,36.22,45,1,59
1998-03-01,43336,35.97,46,1,60
1998-03-02,35903,35.67,47,1,61
1998-03-03,31979,35.47,48,1,62
1998-03-04,29155,35.35,49,1,63
1998-03-05,25336,35.19,50,1,64
1998-03-06,22736,35.04,51,1,65
1998-03-07,20207,34.87,52,1,66
1998-03-08,17369,34.65,53,1,67
1998-03-09,14538,34.39,54,1,68
1998-03-10,11330,34.12,55,1,69
1998-03-11,8570,33.66,56,1,70
1998-03-12,7499,32.86,57,1,71
1998-03-13,7135,32.01,58,1,72
1998-03-14,7052,31.16,59,1,73
1998-03-15,6775,30.61,60,1,74
1998-03-16,6465,30.42,61,1,75
1998-03-17,6134,29.99,62,1,76
1998-03-18,5800,29.36,63,1,77
1998-03-19,5522,28.6,64,1,78
1998-03-20,5376,28.75,65,1,79
1998-03-21,5201,29.73,66,1,80
1998-03-22,5103,30.88,67,1,81
1998-03-23,5156,32.41,68,1,82
1998-03-24,5397,34.61,69,1,83
1998-03-25,17825,35.38,70,1,84
1998-03-26,30340,35.78,71,1,85
1998-03-27,36487,35.95,72,1,86
1998-03-28,38477,35.99,73,1,87
1998-03-29,37348,35.95,74,1,88
1998-03-30,33510,35.84,75,1,89
1998-03-31,28666,35.59,76,1,90
1998-04-01,24133,35.34,77,1,91
1998-04-02,19685,34.88,78,1,92
1998-04-03,18580,34.77,79,1,93
1998-04-04,18790,34.78,80,1,94
1998-04-05,17570,34.7,81,1,95
1998-04-06,15456,34.58,82,1,96
1998-04-07,13650,34.53,83,1,97
1998-04-08,11147,34.47,84,1,98
1998-04-09,9107,34.45,85,1,99
1998-04-10,6998,34.29,86,1,100
1998-04-11,5278,34,87,1,101
1998-04-12,4565,33.55,88,1,102
1998-04-13,4198,32.88,89,1,103
1998-04-14,4015,32.27,90,1,104
1998-04-15,4130,31.75,91,1,105
1998-04-16,3865,30.96,0,0,106
1998-04-17,3707,30.06,0,0,107
1998-04-18,3270,28.92,0,0,108
1998-04-19,3290,27.82,0,0,109
1998-04-20,3247,27.27,0,0,110
1998-04-21,3130,27.31,0,0,111
1998-04-22,2836,27.13,0,0,112
1998-04-23,2301,27.08,0,0,113
1998-04-24,2120,27.44,0,0,114
1998-04-25,1994,28.04,0,0,115
1998-04-26,1700,28.13,0,0,116
1998-04-27,1356,28.17,0,0,117
1998-04-28,1316,28.18,0,0,118
1998-04-29,1198,27.86,0,0,119
1998-04-30,1214,27.14,0,0,120
1998-05-01,192,26.77,0,0,121
1998-05-02,192,27.03,0,0,122
1998-05-03,183,27.57,0,0,123
1998-05-04,1368,28.05,0,0,124
1998-05-05,1580,28.13,0,0,125
1998-05-06,1605,28.15,0,0,126
1998-05-07,1526,28.15,0,0,127
1998-05-08,1438,27.84,0,0,128
1998-05-09,1334,26.97,0,0,129
1998-05-10,1297,27.03,0,0,130
