region,inun,min_chla,max_chla,mean_chla,r_chla,sd_chla,min_WTmday,max_WTmday,mean_WTmday,r_WTmday,sd_WTmday,min_Q_sday,max_Q_sday,mean_Q_sday,sd_Q_sday,n
above,0,0.8,21.7,3.6,20.9,2.7,6.7,21.4,12.1,14.6,3.1,5200,53300,18358,11013,114
above,1,0.7,4.9,2.4,4.2,1,8,14.1,11.1,6.1,1.8,29100,74700,56630,9016,30
below,0,0.2,14.7,2.6,14.5,1.9,6.3,19.5,12,13.2,3,2670,66000,18369,13153,226
below,1,0.9,12.6,4,11.7,2.5,8.2,16.5,12,8.2,1.8,29250,258833,90614,46020,52
yolo,0,0.8,53.8,12.3,53,9.2,6.1,22,13.2,15.9,4.2,46,4479,635,954,176
yolo,1,0.6,67.1,8.7,66.5,12.8,8.1,20.6,12.8,12.5,3.4,2582,227863,37056,53885,61
