agency_cd,site_no,sample_dt,sample_tm,sample_start_time_datum_cd_reported,remark_cd_NO3_NO2_mg_L,result_va_NO3_NO2_mg_L,rpt_lev_va_NO3_NO2_mg_L,rpt_lev_cd_NO3_NO2_mg_L,remark_cd_NH4_mg_L,result_va_NH4_mg_L,rpt_lev_va_NH4_mg_L,rpt_lev_cd_NH4_mg_L,remark_cd_OrthoP_mg_L,result_va_OrthoP_mg_L,rpt_lev_va_OrthoP_L,rpt_lev_cd_OrthoP_mg_L,remark_cd_NO2_mg_L,result_va_NO2_mg_L,rpt_lev_va_NO2_mg_L,rpt_lev_cd_NO2_mg_L,remark_cd_TDN_mg_L,result_va_TDN_mg_L,rpt_lev_va_TDN_mg_L,rpt_lev_cd_TDN_mg_L,remark_cd_Chla_ugL,result_va_Chla_ugL,rpt_lev_va_Chla_ugL,rpt_lev_cd_Chla_ugL,remark_cd_Phaeo_ugL,result_va_Phaeo_ugL,rpt_lev_va_Phaeo_ugL,rpt_lev_cd_Phaeo_ugL,remark_cd_DOC_mgL,result_va_DOC_mgL,rpt_lev_va_DOC_mgL,rpt_lev_cd_DOC_mgL,remark_cd_A254_nm,result_va_A254_nm,rpt_lev_va_A254_nm,rpt_lev_cd_A254_nm,remark_cd_SUVA,result_va_SUVA,rpt_lev_va_SUVA,rpt_lev_cd_SUVA
USGS,11455478,2021-03-03,15:00:00,PST,NA,0.36,0.01,DLDQC,NA,0.11,0.02,DLDQC,NA,0.06,0.004,DLDQC,NA,0.01,0.001,DLDQC,NA,0.74,0.05,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455478,2021-03-16,12:15:00,PST,NA,0.27,0.01,DLDQC,NA,0.12,0.02,DLDQC,NA,0.073,0.004,DLDQC,NA,0.014,0.001,DLDQC,NA,0.59,0.05,DLDQC,NA,2.4,0.1,MRL,NA,1.4,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455478,2021-04-01,13:15:00,PST,NA,0.32,0.01,DLDQC,NA,0.07,0.02,DLDQC,NA,0.069,0.004,DLDQC,NA,0.014,0.001,DLDQC,NA,0.57,0.05,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455478,2021-04-13,13:15:00,PST,NA,0.23,0.01,DLDQC,NA,0.08,0.02,DLDQC,NA,0.069,0.004,DLDQC,NA,0.013,0.001,DLDQC,NA,0.44,0.05,DLDQC,NA,7,0.1,MRL,NA,1.7,0.1,MRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455478,2021-04-19,10:57:00,PST,NA,0.31,0.01,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455478,2021-04-27,11:00:00,PST,NA,0.22,0.01,DLDQC,NA,0.03,0.02,DLDQC,NA,0.076,0.004,DLDQC,NA,0.007,0.001,DLDQC,NA,0.35,0.05,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455478,2021-04-29,12:45:00,PST,NA,0.23,0.01,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11455478,2021-07-13,09:30:00,PST,NA,0.16,0.01,DLDQC,NA,0.03,0.02,DLDQC,NA,0.083,0.004,DLDQC,NA,0.004,0.001,DLDQC,NA,0.34,0.05,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336680,2018-05-16,14:49:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336680,2018-07-25,13:40:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336680,2018-10-18,09:34:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336680,2019-09-11,11:30:00,PST,<,0.04,0.04,DLDQC,<,0.01,0.01,DLDQC,NA,0.02,0.004,DLDQC,<,0.001,0.001,DLDQC,NA,0.1,0.05,DLDQC,NA,1.4,0.1,MRL,NA,0.9,0.1,MRL,NA,1.7,0.3,LRL,NA,0.044,0.00245,MDL,NA,2.6,NA,NA
USGS,11336680,2019-09-12,09:20:00,PST,NA,0.054,0.04,DLDQC,<,0.01,0.01,DLDQC,NA,0.028,0.004,DLDQC,<,0.001,0.001,DLDQC,NA,0.12,0.05,DLDQC,NA,0.9,0.1,MRL,NA,0.5,0.1,MRL,NA,1.8,0.3,LRL,NA,0.048,0.00245,MDL,NA,2.7,NA,NA
USGS,11336685,2018-05-16,15:04:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336685,2018-05-16,15:10:00,PST,<,0.04,0.04,DLDQC,NA,0.02,0.01,DLDQC,NA,0.018,0.004,DLDQC,<,0.001,0.001,DLDQC,NA,0.13,0.05,DLDQC,NA,3.8,0.1,MRL,NA,2.2,0.1,MRL,NA,2.2,0.3,LRL,NA,0.063,0.0097,MDL,NA,2.9,NA,NA
USGS,11336685,2018-05-16,15:24:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336685,2018-05-16,15:28:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336685,2018-07-25,14:25:00,PST,NA,0.078,0.04,DLDQC,NA,0.24,0.01,DLDQC,NA,0.054,0.004,DLDQC,NA,0.011,0.001,DLDQC,NA,0.44,0.05,DLDQC,E,2.4,0.1,MRL,NA,1.6,0.1,MRL,NA,1.7,0.3,LRL,NA,0.035,0.0097,MDL,NA,2.1,NA,NA
USGS,11336685,2018-07-25,15:13:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336685,2018-07-25,15:18:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336685,2018-10-18,09:08:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,0.004,DLDQC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11336685,2018-10-18,09:15:00,PST,NA,0.225,0.04,DLDQC,NA,0.43,0.01,DLDQC,NA,0.081,0.004,DLDQC,NA,0.021,0.001,DLDQC,NA,0.74,0.05,DLDQC,E,1.3,0.1,MRL,NA,0.9,0.1,MRL,NA,1.6,0.3,LRL,NA,0.037,0.0025,MDL,NA,2.3,NA,NA
USGS,11336685,2019-09-10,15:50:00,PST,NA,0.128,0.04,DLDQC,NA,0.14,0.01,DLDQC,NA,0.046,0.004,DLDQC,NA,0.011,0.001,DLDQC,NA,0.4,0.05,DLDQC,NA,1.1,0.1,MRL,NA,0.7,0.1,MRL,NA,1.9,0.3,LRL,NA,0.05,0.00245,MDL,NA,2.6,NA,NA
USGS,11336685,2019-09-11,09:55:00,PST,NA,0.061,0.04,DLDQC,NA,0.01,0.01,DLDQC,NA,0.032,0.004,DLDQC,<,0.001,0.001,DLDQC,NA,0.14,0.05,DLDQC,NA,1.1,0.1,MRL,NA,0.7,0.1,MRL,NA,1.8,0.3,LRL,NA,0.048,0.00245,MDL,NA,2.7,NA,NA
USGS,11336685,2019-09-12,08:45:00,PST,NA,0.05,0.04,DLDQC,<,0.01,0.01,DLDQC,NA,0.029,0.004,DLDQC,<,0.001,0.001,DLDQC,NA,0.13,0.05,DLDQC,NA,1.1,0.1,MRL,NA,0.6,0.1,MRL,NA,1.8,0.3,LRL,NA,0.049,0.00245,MDL,NA,2.7,NA,NA
