agency_cd,site_no,date,water_year,flow,flow_cd
USGS,11455420,1995-04-22,1995,56100,A
USGS,11455420,1995-04-30,1995,44900,A
USGS,11455420,1995-05-01,1995,54100,A
USGS,11455420,1995-05-02,1995,62400,A
USGS,11455420,1995-05-03,1995,77600,A
USGS,11455420,1995-05-04,1995,110000,A
USGS,11455420,1995-05-05,1995,128000,A
USGS,11455420,1995-05-06,1995,127000,A
USGS,11455420,1995-05-07,1995,117000,A
USGS,11455420,1995-05-08,1995,106000,A
USGS,11455420,1995-05-09,1995,95800,A
USGS,11455420,1995-05-10,1995,86100,A
USGS,11455420,1995-05-11,1995,78400,A
USGS,11455420,1995-05-12,1995,73100,A
USGS,11455420,1995-05-13,1995,69000,A
USGS,11455420,1995-05-14,1995,64800,A
USGS,11455420,1995-05-15,1995,60900,A
USGS,11455420,1995-05-16,1995,56700,A
USGS,11455420,1995-05-17,1995,54600,A
USGS,11455420,1995-05-18,1995,50300,A
USGS,11455420,1995-05-19,1995,45700,A
USGS,11455420,1995-05-20,1995,44000,A
USGS,11455420,1995-05-21,1995,42100,A
USGS,11455420,1995-05-22,1995,37600,A
USGS,11455420,1995-05-23,1995,34300,A
USGS,11455420,1995-05-24,1995,34500,A
USGS,11455420,1995-05-25,1995,35900,A
USGS,11455420,1995-05-26,1995,38400,A
USGS,11455420,1995-05-27,1995,39400,A
USGS,11455420,1995-05-28,1995,37900,A
USGS,11455420,1995-05-29,1995,37700,A
USGS,11455420,1995-05-30,1995,38700,A
USGS,11455420,1995-05-31,1995,38400,A
USGS,11455420,1995-06-01,1995,39400,A
USGS,11455420,1995-06-02,1995,42700,A
USGS,11455420,1995-06-03,1995,39600,A
USGS,11455420,1995-06-04,1995,39700,A
USGS,11455420,1995-06-05,1995,39900,A
USGS,11455420,1995-06-06,1995,33500,A
USGS,11455420,1995-06-07,1995,29500,A
USGS,11455420,1995-06-08,1995,32700,A
USGS,11455420,1995-06-09,1995,33700,A
USGS,11455420,1995-06-10,1995,31600,A
USGS,11455420,1995-06-11,1995,29000,A
USGS,11455420,1995-06-12,1995,27700,A
USGS,11455420,1995-06-13,1995,27400,A
USGS,11455420,1995-06-14,1995,27400,A
USGS,11455420,1995-06-15,1995,27700,A
USGS,11455420,1995-06-16,1995,31500,A
USGS,11455420,1995-06-17,1995,35200,A
USGS,11455420,1995-06-18,1995,38700,A
USGS,11455420,1995-06-19,1995,39000,A
USGS,11455420,1995-06-20,1995,34800,A
USGS,11455420,1995-06-21,1995,32200,A
USGS,11455420,1995-06-22,1995,30600,A
USGS,11455420,1995-06-23,1995,31500,A
USGS,11455420,1995-06-24,1995,29000,A
USGS,11455420,1995-06-25,1995,26600,A
USGS,11455420,1995-06-26,1995,26100,A
USGS,11455420,1995-06-27,1995,30400,A
USGS,11455420,1995-06-28,1995,31800,A
USGS,11455420,1995-06-29,1995,34400,A
USGS,11455420,1995-06-30,1995,34900,A
USGS,11455420,1995-07-01,1995,33600,A
USGS,11455420,1995-07-02,1995,32700,A
USGS,11455420,1995-07-03,1995,31900,A
USGS,11455420,1995-07-04,1995,29900,A
USGS,11455420,1995-07-05,1995,28900,A
USGS,11455420,1995-07-06,1995,28500,A
USGS,11455420,1995-07-07,1995,25800,A
USGS,11455420,1995-07-08,1995,21300,A
USGS,11455420,1995-07-09,1995,20800,A
USGS,11455420,1995-07-10,1995,20800,A
USGS,11455420,1995-07-11,1995,21500,A
USGS,11455420,1995-07-12,1995,22700,A
USGS,11455420,1995-07-13,1995,20500,A
USGS,11455420,1995-07-14,1995,19000,A
USGS,11455420,1995-07-15,1995,17500,A
USGS,11455420,1995-07-16,1995,18400,A
USGS,11455420,1995-07-17,1995,26000,A
USGS,11455420,1995-07-18,1995,35300,A
USGS,11455420,1995-07-19,1995,39700,A
USGS,11455420,1995-07-20,1995,38600,A
USGS,11455420,1995-07-21,1995,33600,A
USGS,11455420,1995-07-22,1995,29600,A
USGS,11455420,1995-07-23,1995,26400,A
USGS,11455420,1995-07-24,1995,22800,A
USGS,11455420,1995-07-25,1995,20300,A
USGS,11455420,1995-07-26,1995,19100,A
USGS,11455420,1995-07-27,1995,17100,A
USGS,11455420,1995-07-28,1995,15400,A
USGS,11455420,1995-07-29,1995,15400,A
USGS,11455420,1995-07-30,1995,12700,A
USGS,11455420,1995-07-31,1995,10300,A
USGS,11455420,1995-08-01,1995,11300,A
USGS,11455420,1995-08-02,1995,12100,A
USGS,11455420,1995-08-03,1995,12200,A
USGS,11455420,1995-08-04,1995,12300,A
USGS,11455420,1995-08-05,1995,12900,A
USGS,11455420,1995-08-06,1995,11500,A
USGS,11455420,1995-08-07,1995,11700,A
USGS,11455420,1995-08-08,1995,9140,A
USGS,11455420,1995-08-09,1995,7210,A
USGS,11455420,1995-08-10,1995,10900,A
USGS,11455420,1995-08-11,1995,11600,A
USGS,11455420,1995-08-12,1995,9630,A
USGS,11455420,1995-08-13,1995,8630,A
USGS,11455420,1995-08-14,1995,8060,A
USGS,11455420,1995-08-15,1995,8660,A
USGS,11455420,1995-08-16,1995,14200,A
USGS,11455420,1995-08-17,1995,16100,A
USGS,11455420,1995-08-18,1995,12700,A
USGS,11455420,1995-08-19,1995,11500,A
USGS,11455420,1995-08-20,1995,9980,A
USGS,11455420,1995-08-21,1995,13400,A
USGS,11455420,1995-08-22,1995,12400,A
USGS,11455420,1995-08-23,1995,12200,A
USGS,11455420,1995-08-24,1995,12800,A
USGS,11455420,1995-08-25,1995,12800,A
USGS,11455420,1995-08-26,1995,11700,A
USGS,11455420,1995-08-27,1995,12600,A
USGS,11455420,1995-08-28,1995,13400,A
USGS,11455420,1995-08-29,1995,12700,A
USGS,11455420,1995-08-30,1995,11700,A
USGS,11455420,1995-08-31,1995,11800,A
USGS,11455420,1995-09-01,1995,13600,A
USGS,11455420,1995-09-02,1995,14600,A
USGS,11455420,1995-09-03,1995,15400,A
USGS,11455420,1995-09-04,1995,15000,A
USGS,11455420,1995-09-05,1995,13900,A
USGS,11455420,1995-09-06,1995,11900,A
USGS,11455420,1995-09-07,1995,10600,A
USGS,11455420,1995-09-08,1995,11000,A
USGS,11455420,1995-09-09,1995,14800,A
USGS,11455420,1995-09-10,1995,16000,A
USGS,11455420,1995-09-11,1995,14900,A
USGS,11455420,1995-09-12,1995,15100,A
USGS,11455420,1995-09-13,1995,16500,A
USGS,11455420,1995-09-14,1995,17400,A
USGS,11455420,1995-09-15,1995,17200,A
USGS,11455420,1995-09-16,1995,18700,A
USGS,11455420,1995-09-17,1995,18700,A
USGS,11455420,1995-09-18,1995,17000,A
USGS,11455420,1995-09-19,1995,16400,A
USGS,11455420,1995-09-20,1995,18300,A
USGS,11455420,1995-09-21,1995,19800,A
USGS,11455420,1995-09-22,1995,18900,A
USGS,11455420,1995-09-23,1995,17100,A
USGS,11455420,1995-09-24,1995,16200,A
USGS,11455420,1995-09-25,1995,15200,A
USGS,11455420,1995-09-26,1995,14300,A
USGS,11455420,1995-09-27,1995,14900,A
USGS,11455420,1995-09-28,1995,16000,A
USGS,11455420,1995-09-29,1995,14900,A
USGS,11455420,1995-09-30,1995,13700,A
USGS,11455420,1995-10-01,1996,13900,A
USGS,11455420,1995-10-02,1996,14200,A
USGS,11455420,1995-10-03,1996,12700,A
USGS,11455420,1995-10-04,1996,8060,A
USGS,11455420,1995-10-05,1996,8480,A
USGS,11455420,1995-10-06,1996,9360,A
USGS,11455420,1995-10-07,1996,9260,A
USGS,11455420,1995-10-08,1996,10200,A
USGS,11455420,1995-10-09,1996,9760,A
USGS,11455420,1995-10-10,1996,7380,A
USGS,11455420,1995-10-11,1996,8110,A
USGS,11455420,1995-10-12,1996,8330,A
USGS,11455420,1995-10-13,1996,6280,A
USGS,11455420,1995-10-14,1996,5980,A
USGS,11455420,1995-10-15,1996,10700,A
USGS,11455420,1995-10-16,1996,11300,A
USGS,11455420,1995-10-17,1996,8700,A
USGS,11455420,1995-10-18,1996,7080,A
USGS,11455420,1995-10-19,1996,5570,A
USGS,11455420,1995-10-20,1996,6000,A
USGS,11455420,1995-10-21,1996,5760,A
USGS,11455420,1995-10-22,1996,2530,A
USGS,11455420,1995-10-23,1996,3880,A
