"","date","mean_flow_lib","mean_flow_cch","model_flow_lib","lib_flow_for_GAM","method","group","length","category","sd_flow_lib","cv_flow_lib","sd_gh_lib","sd_flow_cch","sd_gh_cch","cv_flow_cch"
"2806",2016-06-06,-1739.82291666667,736.177083333333,-1656.76458333333,-1739.82291666667,"lib_flow",NA,NA,NA,11564.093031535,-664.670692675474,1.26929895003557,68697.6684000257,1.2313684977264,9331.67711346974
"2807",2016-06-07,-8176.8,2803.125,-1243.375,-8176.8,"lib_flow",NA,NA,NA,8979.36878334822,-109.815194004356,1.2939309751378,67868.1309648195,1.26260434257023,2421.15963308163
"2808",2016-06-08,NA,2380.83333333333,-1327.83333333333,-1327.83333333333,"model_lib_flow",NA,NA,NA,NA,NA,1.24206950959544,66084.4267770868,1.21540230506524,2775.68470887309
"2809",2016-06-09,NA,2567.5,-1290.5,-1290.5,"model_lib_flow",NA,NA,NA,NA,NA,1.19029927222365,65688.8215436194,1.16554244863128,2558.47406206891
"2810",2016-06-10,NA,136.666666666667,-1776.66666666667,-1776.66666666667,"model_lib_flow",NA,NA,NA,NA,NA,1.11295591880046,62279.1902673026,1.0816224817294,45570.1392199775
"2811",2016-06-11,NA,1170.9375,-1569.8125,-1569.8125,"model_lib_flow",NA,NA,NA,NA,NA,1.06500909620529,58840.823406134,1.03189943665476,5025.10368026765
"2812",2016-06-12,NA,-5597.16666666667,-2923.43333333333,-2923.43333333333,"model_lib_flow",NA,NA,NA,NA,NA,1.05499844100658,56880.1586287792,0.978741667751497,-1016.23128300829
"2813",2016-06-13,NA,-3719.03125,-2547.80625,-2547.80625,"model_lib_flow",NA,NA,NA,NA,NA,1.02869306881332,56276.5849035773,0.969159107164556,-1513.20548606784
"2814",2016-06-14,NA,-3685.4375,-2541.0875,-2541.0875,"model_lib_flow",NA,NA,NA,NA,NA,1.06473346780128,56367.4394109172,1.00171063664184,-1529.46398930703
"2815",2016-06-15,-3281.80921052632,-5168.82291666667,-2837.76458333333,-3281.80921052632,"lib_flow",NA,NA,NA,9690.90316429695,-295.291485355506,1.11024060929436,58236.894413294,1.05483684923725,-1126.69548468204
"2816",2016-06-16,-1291.625,1650.10416666667,-1473.97916666667,-1291.625,"lib_flow",NA,NA,NA,9710.99099636999,-751.842910780605,1.14979505706261,62316.7413426599,1.10165328308881,3776.53378504852
"2817",2016-06-17,-1358.27083333333,-371.666666666667,-1878.33333333333,-1358.27083333333,"lib_flow",NA,NA,NA,10003.7361920215,-736.50526437878,1.18644180922061,63565.1863616633,1.14526760356343,-17102.7407251112
"2818",2016-06-18,-1020.478125,2154.5625,-1373.0875,-1020.478125,"lib_flow",NA,NA,NA,9955.43735742014,-975.565973785096,1.23423777440651,62675.5439928211,1.1876671627496,2908.96847934655
"2819",2016-06-19,-819.15625,1168.25729166667,-1570.34854166667,-819.15625,"lib_flow",NA,NA,NA,9898.54080296488,-1208.38250369998,1.24644926832534,62478.9444558165,1.2008689425184,5348.04660766828
"2820",2016-06-20,-1200.178125,320.104166666667,-1739.97916666667,-1200.178125,"lib_flow",NA,NA,NA,10111.2265110379,-842.477154050607,1.23625385157188,62218.4536594933,1.19479238727245,19436.9396398026
"2821",2016-06-21,-1238.38020833333,2106.625,-1382.675,-1238.38020833333,"lib_flow",NA,NA,NA,9894.66522311918,-799.000594206513,1.2643019665884,62181.7461252433,1.22362790593913,2951.72354478103
"2822",2016-06-22,-1269.63541666667,890.9375,-1625.8125,-1269.63541666667,"lib_flow",NA,NA,NA,10389.3253984126,-818.292027934207,1.21488212824385,62186.1799687989,1.17357526537874,6979.85885303951
"2823",2016-06-23,-1334.35416666667,2417.83333333333,-1320.43333333333,-1334.35416666667,"lib_flow",NA,NA,NA,10137.5308692934,-759.733144508243,1.22121394881156,62158.0520365822,1.18461584194306,2570.81624194867
