site_no,chla_value,chla_units,date
11455315,0.6,NA,2020-07-23
11455315,2,ug/l,2020-06-24
11455315,1.8,ug/l,2020-10-20
11455315,2.2,ug/l,2020-10-06
11455385,1.1,ug/l,2020-01-07
11455315,0.8,NA,2020-07-09
11455385,2.5,ug/l,2020-10-22
11455315,0.9,NA,2020-11-04
11455315,1.2,NA,2020-07-23
11455315,1.7,ug/l,2020-02-18
11455315,1.7,NA,2021-03-04
11455385,1.4,ug/l,2021-03-03
11455315,2.1,ug/l,2021-03-04
11455315,1.2,NA,2021-04-14
11455315,4.6,ug/l,2021-05-11
11455315,1.6,NA,2021-04-14
11455315,4.6,NA,2021-04-14
11455315,35.5,NA,2021-04-05
11455385,40.6,NA,2021-04-05
11455315,1.4,NA,2021-04-14
11455315,2.2,ug/l,2021-06-08
11455315,1.7,NA,2021-04-14
11455315,4.5,NA,2021-04-14
11455385,1.7,ug/l,2021-06-15
11455385,1.2,ug/l,2021-09-28
11455315,2.8,ug/l,2021-05-25
11455315,1.9,NA,2021-04-14
11455385,2.6,ug/l,2021-05-11
11455315,1.6,ug/l,2021-04-22
11455385,1.9,ug/l,2021-07-22
11455315,1.5,ug/l,2021-10-21
11455315,1.7,ug/l,2021-08-18
11455385,1.8,ug/l,2021-08-17
11455385,2.6,ug/l,2021-07-13
11455315,1.9,ug/l,2021-07-22
11455315,1.8,ug/l,2021-07-27
11455385,1.2,ug/l,2021-07-27
11455385,1.3,ug/l,2021-10-04
11455315,1.4,ug/l,2021-09-23
11455315,1.4,ug/l,2021-09-28
11455315,1.1,ug/l,2021-12-09
11455315,1,ug/l,2021-11-16
11455315,1.5,ug/l,2021-10-04
11455385,1.5,ug/l,2021-12-09
