"date","group","mean","max","min","sd","cv","n","site","category","method","length"
2010-12-21,NA,10.4125,10.6,10.3,0.0806225774829852,0.774286458420026,16,"LIB","data","Pien_2020",NA
2010-12-22,NA,10.3583333333333,10.5,10.3,0.0653862548158292,0.631243007071561,24,"LIB","data","Pien_2020",NA
2010-12-23,NA,10.3791666666667,10.6,10.2,0.117876747224514,1.13570531248026,24,"LIB","data","Pien_2020",NA
2010-12-24,NA,10.2916666666667,10.5,10.1,0.105980583400787,1.02977085085785,24,"LIB","data","Pien_2020",NA
2010-12-25,NA,10.3,10.4,10.2,0.0738548945876,0.717037811530097,12,"LIB","data","Pien_2020",NA
2010-12-26,NA,10.20625,10.4,10.1,0.0771902411793964,0.756303649032665,16,"LIB","data","Pien_2020",NA
2010-12-27,NA,10.2791666666667,10.4,10.1,0.0721060008759251,0.701477106210864,24,"LIB","data","Pien_2020",NA
2010-12-28,NA,10.2583333333333,10.4,10.1,0.0775531608229044,0.756001567729368,24,"LIB","data","Pien_2020",NA
2010-12-29,NA,10.175,10.3,10,0.0896854406292883,0.881429391934038,24,"LIB","data","Pien_2020",NA
2010-12-30,NA,9.77916666666667,10.2,9.2,0.243130250772255,2.48620622860423,24,"LIB","data","Pien_2020",NA
2010-12-31,NA,9.45833333333333,9.8,9.2,0.201982923657609,2.13550227655621,24,"LIB","data","Pien_2020",NA
2011-01-01,NA,9.14166666666667,9.4,8.9,0.158571521832364,1.73460187966123,24,"LIB","data","Pien_2020",NA
2011-01-02,NA,8.57916666666667,9,8.2,0.193321463903513,2.25338277498023,24,"LIB","data","Pien_2020",NA
2011-01-03,NA,8.32916666666667,8.6,7.9,0.151741102931409,1.82180413724553,24,"LIB","data","Pien_2020",NA
2011-01-04,NA,8.175,8.4,7.9,0.153933921453048,1.88298374866114,24,"LIB","data","Pien_2020",NA
2011-01-05,NA,8.07083333333333,8.3,7.7,0.168055805086252,2.08226087871453,24,"LIB","data","Pien_2020",NA
2011-01-06,NA,8.02083333333333,8.3,7.7,0.176879144853366,2.20524648128871,24,"LIB","data","Pien_2020",NA
2011-01-07,NA,7.92916666666667,8.2,7.4,0.211576210273327,2.66832845326319,24,"LIB","data","Pien_2020",NA
2011-01-08,NA,7.77083333333333,8.1,7.3,0.229326360696159,2.95111670600956,24,"LIB","data","Pien_2020",NA
2011-01-09,NA,7.56666666666667,7.9,6.9,0.254808822908242,3.36751748336884,24,"LIB","data","Pien_2020",NA
2011-01-10,NA,7.39583333333333,7.7,6.8,0.234945260352957,3.1767246470259,24,"LIB","data","Pien_2020",NA
2011-01-11,NA,7.32083333333333,7.6,6.9,0.195557545554214,2.67124706505471,24,"LIB","data","Pien_2020",NA
2011-01-12,NA,7.30416666666667,7.7,6.8,0.223566285602215,3.06080482284835,24,"LIB","data","Pien_2020",NA
2011-01-13,NA,7.54583333333333,7.8,7.3,0.150301629100103,1.99184930889148,24,"LIB","data","Pien_2020",NA
2011-01-14,NA,7.82083333333333,8.3,7.6,0.210546218548155,2.69212000274679,24,"LIB","data","Pien_2020",NA
2011-01-15,NA,8.3125,8.4,8.2,0.0536696821549067,0.645650311637975,24,"LIB","data","Pien_2020",NA
2011-01-16,NA,8.5625,8.8,8.4,0.146888008212113,1.71548038787869,24,"LIB","data","Pien_2020",NA
2011-01-17,NA,8.88333333333333,9.2,8.7,0.16061476099436,1.80804608999279,24,"LIB","data","Pien_2020",NA
2011-01-18,NA,9.24166666666667,10.3,8.9,0.282714584398973,3.05912985823957,24,"LIB","data","Pien_2020",NA
2011-01-19,NA,9.48333333333333,9.6,9.3,0.0916831342257081,0.966781731729787,24,"LIB","data","Pien_2020",NA
