"date","mean","max","min","sd","cv","n","site","category","method","length","region","year"
1999-02-17,10.4291666666667,10.8,9.83333333333333,NA,NA,NA,NA,"7&Under","imputeTS",7,"river_downstream","1999"
1999-02-18,10.4291666666667,10.8,9.83333333333333,NA,NA,NA,NA,"7&Under","imputeTS",7,"river_downstream","1999"
1999-02-19,10.4059523809524,10.7714285714286,9.82857142857143,NA,NA,NA,NA,"7&Under","imputeTS",7,"river_downstream","1999"
1999-02-20,10.4022222222222,10.7733333333333,9.82666666666667,NA,NA,NA,NA,"7&Under","imputeTS",7,"river_downstream","1999"
1999-02-21,10.4115591397849,10.7870967741935,9.82903225806452,NA,NA,NA,NA,"7&Under","imputeTS",7,"river_downstream","1999"
1999-02-22,10.4221560846561,10.8,9.83333333333333,NA,NA,NA,NA,"7&Under","imputeTS",7,"river_downstream","1999"
1999-02-23,10.428937007874,10.807874015748,9.83622047244095,NA,NA,NA,NA,"7&Under","imputeTS",7,"river_downstream","1999"
1999-02-24,10.4166666666667,10.8,9.8,0.246129458100666,2.36284279776639,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-02-25,10.4541666666667,10.8,9.9,0.244911992474789,2.34272133096649,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-02-26,10.2666666666667,10.6,9.8,0.238959095402042,2.3275236565134,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-02-27,10.35,10.8,9.8,0.263752189358315,2.5483303319644,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-02-28,10.6916666666667,11.2,9.9,0.334815545151897,3.13155615106997,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-01,11.0791666666667,11.6,10.1,0.394504826296225,3.56078068112426,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-02,11.2833333333333,11.8,10.2,0.44002634967215,3.8997903959127,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-03,11.425,11.9,10.3,0.412046852549139,3.60653700261829,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-04,11.4708333333333,11.8,10.4,0.362933898241475,3.16397150664563,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-05,11.175,11.7,10.4,0.317941750202359,2.84511633290701,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-06,10.8833333333333,11.2,10.3,0.253096762157268,2.32554452211885,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-07,10.625,10.9,9.9,0.243614092545888,2.29283851807895,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-08,10.4,10.8,9.9,0.293405788153095,2.82120950147207,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-09,9.87916666666667,10.3,9.6,0.184105750959148,1.86357571616177,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-10,9.6625,10,9.2,0.203902150446046,2.11024217796684,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-11,9.83333333333333,10.2,9.3,0.277671477244895,2.82377773469385,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-12,10.0416666666667,10.6,9.4,0.391115091108428,3.89492206912957,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-13,10.3833333333333,11,9.6,0.426988103557594,4.11224497808276,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-14,10.6,11.1,10.1,0.318965719842717,3.00911056455393,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-15,10.7708333333333,11.1,10.2,0.244022747811091,2.26558837426158,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-16,10.925,11.4,10.3,0.260851448646293,2.38765628051527,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-17,11.225,11.6,10.4,0.292292289683966,2.6039402199017,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-18,11.4791666666667,11.8,11,0.184105750959148,1.60382505372761,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-19,11.6142857142857,11.8,11.3,0.145896244933563,1.25617923067029,21,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-20,11.779764248219,12.0740157480315,11.3566929133858,NA,NA,NA,NA,"7&Under","imputeTS",1,"river_downstream","1999"
1999-03-21,12.0458333333333,12.3,11.7,0.176879144853366,1.46838446090653,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-22,12.1166666666667,12.4,11.7,0.197080135249966,1.62652106121017,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-23,12.2291666666667,12.7,11.8,0.282040957042191,2.30629743407584,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-24,12.2666666666667,12.6,11.8,0.199274044791428,1.62451666949534,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
1999-03-25,12.4458333333333,13.1,11.9,0.35136895840062,2.82318547091224,24,"RIV","data","Pien_2020",NA,"river_downstream","1999"
