"","date","yolo_dayflow","sac_dayflow","height_sac","inund_days","inundation","year"
"1",1984-02-01,1295,32400,24.38,0,0,"1984"
"2",1984-02-02,1141,31000,23.97,0,0,"1984"
"3",1984-02-03,988,30200,23.55,0,0,"1984"
"4",1984-02-04,883,28800,23.23,0,0,"1984"
"5",1984-02-05,811,26400,22.78,0,0,"1984"
"6",1984-02-06,810,24600,22.2,0,0,"1984"
"7",1984-02-07,681,23800,21.6,0,0,"1984"
"8",1984-02-08,563,23000,21.14,0,0,"1984"
"9",1984-02-09,460,22300,20.75,0,0,"1984"
"10",1984-02-10,474,22300,20.45,0,0,"1984"
"11",1984-02-11,485,22100,20.22,0,0,"1984"
"12",1984-02-12,470,22500,20.09,0,0,"1984"
"13",1984-02-13,523,22600,20.05,0,0,"1984"
"14",1984-02-14,667,26700,21.91,0,0,"1984"
"15",1984-02-15,1255,35100,24.14,0,0,"1984"
"16",1984-02-16,2325,40500,24.81,0,0,"1984"
"17",1984-02-17,3271,42600,26.31,0,0,"1984"
"18",1984-02-18,2869,44500,26.52,0,0,"1984"
"19",1984-02-19,2770,42400,26.47,0,0,"1984"
"20",1984-02-20,2655,39400,26,0,0,"1984"
"21",1984-02-21,2525,37500,25.27,0,0,"1984"
"22",1984-02-22,2041,39800,24.62,0,0,"1984"
"23",1984-02-23,1621,41100,24.62,0,0,"1984"
"24",1984-02-24,1282,40300,24.62,0,0,"1984"
"25",1984-02-25,1069,37700,24.46,0,0,"1984"
"26",1984-02-26,953,35900,24.16,0,0,"1984"
"27",1984-02-27,1020,35300,23.88,0,0,"1984"
"28",1984-02-28,989,34700,23.63,0,0,"1984"
"29",1984-02-29,828,33300,23.38,0,0,"1984"
"30",1984-03-01,935,32000,23.08,0,0,"1984"
"31",1984-03-02,1057,30900,22.79,0,0,"1984"
"32",1984-03-03,887,30100,22.49,0,0,"1984"
"33",1984-03-04,778,30400,22.32,0,0,"1984"
"34",1984-03-05,750,29400,22.3,0,0,"1984"
"35",1984-03-06,691,27100,22.04,0,0,"1984"
"36",1984-03-07,610,25800,21.6,0,0,"1984"
"37",1984-03-08,494,25400,21.16,0,0,"1984"
"38",1984-03-09,430,24900,20.74,0,0,"1984"
"39",1984-03-10,411,24400,20.61,0,0,"1984"
"40",1984-03-11,387,23900,20.45,0,0,"1984"
"41",1984-03-12,337,23600,20.35,0,0,"1984"
"42",1984-03-13,390,22500,20.21,0,0,"1984"
"43",1984-03-14,719,23000,19.96,0,0,"1984"
"44",1984-03-15,1046,25900,21.25,0,0,"1984"
"45",1984-03-16,1124,31600,23.34,0,0,"1984"
"46",1984-03-17,1410,36100,24.86,0,0,"1984"
"47",1984-03-18,1780,39600,25.53,0,0,"1984"
"48",1984-03-19,2554,40300,25.88,0,0,"1984"
"49",1984-03-20,1981,38900,25.88,0,0,"1984"
"50",1984-03-21,1806,38500,25.77,0,0,"1984"
"51",1984-03-22,1645,38000,25.59,0,0,"1984"
"52",1984-03-23,1490,37500,25.41,0,0,"1984"
"53",1984-03-24,1383,36600,25.19,0,0,"1984"
"54",1984-03-25,1400,35900,24.97,0,0,"1984"
"55",1984-03-26,1545,35000,24.7,0,0,"1984"
"56",1984-03-27,1593,34700,24.42,0,0,"1984"
"57",1984-03-28,1434,34100,24.21,0,0,"1984"
"58",1984-03-29,1065,33400,23.97,0,0,"1984"
"59",1984-03-30,725,32200,23.7,0,0,"1984"
"60",1984-03-31,631,32500,23.34,0,0,"1984"
"61",1984-04-01,613,30300,22.94,0,0,"1984"
"62",1984-04-02,589,29000,22.53,0,0,"1984"
"63",1984-04-03,404,27600,22,0,0,"1984"
"64",1984-04-04,321,25100,21.33,0,0,"1984"
"65",1984-04-05,301,22500,20.55,0,0,"1984"
"66",1984-04-06,295,21300,19.83,0,0,"1984"
"67",1984-04-07,313,19800,19.36,0,0,"1984"
"68",1984-04-08,357,18900,19.1,0,0,"1984"
"69",1984-04-09,369,19600,18.92,0,0,"1984"
"70",1984-04-10,374,20300,18.81,0,0,"1984"
"71",1984-04-11,349,20800,18.77,0,0,"1984"
"72",1984-04-12,333,20800,18.76,0,0,"1984"
"73",1984-04-13,297,20600,18.76,0,0,"1984"
"74",1984-04-14,304,19600,18.73,0,0,"1984"
"75",1984-04-15,268,18300,18.65,0,0,"1984"
"76",1984-04-16,300,17700,18.54,0,0,"1984"
"77",1984-04-17,323,16500,18.37,0,0,"1984"
"78",1984-04-18,336,15400,18.09,0,0,"1984"
"79",1984-04-19,343,14500,17.63,0,0,"1984"
"80",1984-04-20,360,15000,17.28,0,0,"1984"
"81",1984-04-21,375,15700,17.07,0,0,"1984"
"82",1984-04-22,315,15600,17.04,0,0,"1984"
"83",1984-04-23,298,14500,16.93,0,0,"1984"
"84",1984-04-24,291,13500,16.73,0,0,"1984"
"85",1984-04-25,282,12000,16.44,0,0,"1984"
"86",1984-04-26,271,10800,16.08,0,0,"1984"
"87",1984-04-27,254,10200,15.73,0,0,"1984"
"88",1984-04-28,250,10400,15.44,0,0,"1984"
"89",1984-04-29,249,10600,15.31,0,0,"1984"
"90",1984-04-30,250,11100,15.23,0,0,"1984"
"91",1984-05-01,252,11300,15.14,0,0,"1984"
"92",1984-05-02,252,11200,15.1,0,0,"1984"
"93",1984-05-03,69,12000,15.14,0,0,"1984"
"94",1984-05-04,66,13800,15.36,0,0,"1984"
"95",1984-05-05,61,15700,15.48,0,0,"1984"
"96",1984-05-06,55,16400,15.58,0,0,"1984"
"97",1984-05-07,53,16700,15.64,0,0,"1984"
"98",1984-05-08,44,16300,15.64,0,0,"1984"
"99",1984-05-09,50,15800,15.64,0,0,"1984"
"100",1984-05-10,52,15300,15.62,0,0,"1984"
"101",1984-05-11,49,15400,15.63,0,0,"1984"
"102",1984-05-12,50,15400,15.69,0,0,"1984"
"103",1984-05-13,56,15800,15.87,0,0,"1984"
"104",1984-05-14,70,16500,16.46,0,0,"1984"
"105",1984-05-15,61,17500,16.82,0,0,"1984"
"106",1984-05-16,58,17400,17.06,0,0,"1984"
"107",1984-05-17,54,17800,17.18,0,0,"1984"
"108",1984-05-18,56,16900,17.2,0,0,"1984"
"109",1984-05-19,55,16400,17.2,0,0,"1984"
"110",1984-05-20,55,16300,17.16,0,0,"1984"
"111",1984-05-21,59,16200,17.11,0,0,"1984"
"112",1984-05-22,59,16200,17.04,0,0,"1984"
"113",1984-05-23,50,15500,17.0902362204724,0,0,"1984"
"114",1984-05-24,50,15400,17.0904761904762,0,0,"1984"
"115",1984-05-25,47,15000,17.0890322580645,0,0,"1984"
"116",1984-05-26,33,15100,17.0853333333333,0,0,"1984"
"117",1984-05-27,31,15200,17.0771428571429,0,0,"1984"
"118",1984-05-28,32,14900,17.0633333333333,0,0,"1984"
"119",1984-05-29,32,15000,17.0633333333333,0,0,"1984"
"120",1984-05-30,33,14600,17.0633333333333,0,0,"1984"
"121",1984-05-31,28,14600,17.0633333333333,0,0,"1984"
"122",1984-06-01,34,14600,17.0633333333333,0,0,"1984"
"123",1984-06-02,39,14300,17.0633333333333,0,0,"1984"
"124",1984-06-03,44,14100,17.0633333333333,0,0,"1984"
"125",1984-06-04,47,14200,17.0633333333333,0,0,"1984"
"126",1984-06-05,43,13800,17.0633333333333,0,0,"1984"
"127",1984-06-06,45,13900,17.0633333333333,0,0,"1984"
"128",1984-06-07,60,15000,17.0633333333333,0,0,"1984"
"129",1984-06-08,58,15500,17.0633333333333,0,0,"1984"
"130",1984-06-09,53,16400,17.0633333333333,0,0,"1984"
"131",1984-06-10,47,17100,17.0633333333333,0,0,"1984"
"132",1984-06-11,56,16200,17.0633333333333,0,0,"1984"
"133",1984-06-12,41,15100,17.0633333333333,0,0,"1984"
"134",1984-06-13,34,13900,17.0633333333333,0,0,"1984"
"135",1984-06-14,36,12900,17.0633333333333,0,0,"1984"
"136",1984-06-15,39,13200,17.4425,0,0,"1984"
"137",1984-06-16,39,14200,18.21,0,0,"1984"
"138",1984-06-17,38,14800,18.6,0,0,"1984"
"139",1984-06-18,37,15300,18.6,0,0,"1984"
"140",1984-06-19,35,14700,18.6,0,0,"1984"
"141",1984-06-20,36,14500,18.6,0,0,"1984"
"142",1984-06-21,33,14700,18.6,0,0,"1984"
"143",1984-06-22,31,14200,18.6,0,0,"1984"
"144",1984-06-23,30,14900,18.6,0,0,"1984"
"145",1984-06-24,28,15500,18.6,0,0,"1984"
"146",1984-06-25,24,15600,18.6,0,0,"1984"
"147",1984-06-26,21,15200,18.6,0,0,"1984"
"148",1984-06-27,22,15300,18.6,0,0,"1984"
"149",1984-06-28,23,15600,18.6,0,0,"1984"
"150",1984-06-29,26,16900,18.6,0,0,"1984"
"151",1984-06-30,27,18100,18.6,0,0,"1984"
"152",1984-07-01,27,19200,18.6,0,0,"1984"
"153",1984-07-02,27,19400,18.6,0,0,"1984"
"154",1984-07-03,28,20400,18.6,0,0,"1984"
"155",1984-07-04,25,21100,18.6,0,0,"1984"
"156",1984-07-05,24,20800,18.6085714285714,0,0,"1984"
"157",1984-07-06,24,20700,18.61,0,0,"1984"
"158",1984-07-07,20,20900,18.6209677419355,0,0,"1984"
