"date","mean","max","min","sd","cv","site","n()","category","method","length"
2014-12-26,9.51793981481481,10.2777777777778,9.05555555555555,0.304343133318881,3.19757362664939,"LIS",96,"data","CDEC",NA
2014-12-27,8.99421296296296,9.38888888888889,8.61111111111111,0.254712462160571,2.83195943001845,"LIS",96,"data","CDEC",NA
2014-12-28,9.06423611111111,9.5,8.72222222222222,0.258240173732583,2.84900095901107,"LIS",96,"data","CDEC",NA
2014-12-29,8.95023148148148,9.11111111111111,8.72222222222222,0.0686257787511746,0.766748646592718,"LIS",96,"data","CDEC",NA
2014-12-30,7.69270833333333,8.66666666666667,6.88888888888889,0.476882959487999,6.19915560065645,"LIS",96,"data","CDEC",NA
2014-12-31,5.91956018518519,6.83333333333333,5.61111111111111,0.302240904099519,5.10580000277611,"LIS",96,"data","CDEC",NA
2015-01-01,5.47106481481481,5.77777777777778,5.22222222222222,0.14486649242704,2.64786650004151,"LIS",96,"data","CDEC",NA
2015-01-02,5.41666666666667,5.61111111111111,5.11111111111111,0.151877998985036,2.80390151972374,"LIS",96,"data","CDEC",NA
2015-01-03,5.44675925925926,5.66666666666667,5.22222222222222,0.127176737104205,2.3349065205702,"LIS",96,"data","CDEC",NA
2015-01-04,5.92456140350877,6.16666666666667,5.72222222222222,0.154801403372378,2.61287533083374,"LIS",95,"data","CDEC",NA
2015-01-05,6.43055555555556,6.77777777777778,6,0.292976036161292,4.55599883447366,"LIS",96,"data","CDEC",NA
2015-01-06,6.96238425925926,7.44444444444444,6.5,0.405653260013718,5.82635552575601,"LIS",96,"data","CDEC",NA
2015-01-07,7.61458333333333,8,7.22222222222222,0.338057411566837,4.43960485778609,"LIS",96,"data","CDEC",NA
2015-01-08,8.22858796296296,8.66666666666667,7.83333333333333,0.333418097572113,4.05194790494839,"LIS",96,"data","CDEC",NA
2015-01-09,8.74131944444444,9,8.44444444444445,0.217318426670406,2.48610553648767,"LIS",96,"data","CDEC",NA
2015-01-10,9.27199074074074,9.72222222222222,8.88888888888889,0.354995828313504,3.82869049635336,"LIS",96,"data","CDEC",NA
2015-01-11,9.85069444444444,10.2777777777778,9.5,0.32347131357858,3.28374121644804,"LIS",96,"data","CDEC",NA
2015-01-12,10.3090277777778,10.7222222222222,9.94444444444444,0.299209756245712,2.90240518015376,"LIS",96,"data","CDEC",NA
2015-01-13,10.5896990740741,10.9444444444444,10.1666666666667,0.277177103955032,2.61742191176729,"LIS",96,"data","CDEC",NA
2015-01-14,10.6342592592593,10.8888888888889,10.3888888888889,0.162754607190017,1.53047432098579,"LIS",96,"data","CDEC",NA
2015-01-15,10.4184027777778,10.5555555555556,10.2777777777778,0.0897448281408884,0.861406782355469,"LIS",96,"data","CDEC",NA
2015-01-16,10.2939814814815,10.4444444444444,10.1666666666667,0.0970375578457235,0.942663031017597,"LIS",96,"data","CDEC",NA
2015-01-17,10.4438596491228,10.6111111111111,10.3333333333333,0.103616866420024,0.992131931117309,"LIS",95,"data","CDEC",NA
2015-01-18,10.6041666666667,10.7222222222222,10.5,0.0778404092020548,0.734054939429987,"LIS",96,"data","CDEC",NA
2015-01-19,10.8454861111111,11.0555555555556,10.6666666666667,0.170464168708603,1.57175221988403,"LIS",96,"data","CDEC",NA
2015-01-20,11.1724537037037,11.5,10.9444444444444,0.231035633011514,2.06790414298092,"LIS",96,"data","CDEC",NA
2015-01-21,11.2471064814815,11.5,11.0555555555556,0.14371606538841,1.27780479028131,"LIS",96,"data","CDEC",NA
2015-01-22,10.9263157894737,11.1666666666667,10.7222222222222,0.119495180071665,1.09364567502969,"LIS",95,"data","CDEC",NA
2015-01-23,10.5856481481481,10.8333333333333,10.3333333333333,0.158148125322412,1.49398622653142,"LIS",96,"data","CDEC",NA
2015-01-24,10.4039351851852,10.6666666666667,10.2777777777778,0.118051972196505,1.13468577125131,"LIS",96,"data","CDEC",NA
2015-01-25,10.4070175438596,10.7222222222222,10.2222222222222,0.166161983177493,1.59663402581206,"LIS",95,"data","CDEC",NA
2015-01-26,10.4415204678363,10.7777777777778,10.2222222222222,0.189244627650573,1.81242404526732,"LIS",95,"data","CDEC",NA
2015-01-27,10.6426900584795,10.8888888888889,10.4444444444444,0.153894506980889,1.44601135742249,"LIS",95,"data","CDEC",NA
2015-01-28,10.9994212962963,11.3888888888889,10.7222222222222,0.267165079015817,2.42890122870169,"LIS",96,"data","CDEC",NA
2015-01-29,11.2068965517241,11.6111111111111,11.0555555555556,0.126512124632551,1.12887741979815,"LIS",58,"data","CDEC",NA
2015-01-30,12.0134099616858,12.2222222222222,11.5555555555556,0.198355362902438,1.65111624039344,"LIS",58,"data","CDEC",NA
2015-01-31,11.9658564814815,12.3333333333333,11.5555555555556,0.261247294543344,2.18327283924601,"LIS",96,"data","CDEC",NA
2015-02-01,12.0146198830409,12.4444444444444,11.6666666666667,0.279217372024523,2.32398007379865,"LIS",95,"data","CDEC",NA
2015-02-02,12.244212962963,12.5,11.9444444444444,0.211967969717757,1.73116859661728,"LIS",96,"data","CDEC",NA
2015-02-03,12.5630787037037,12.8888888888889,12.2222222222222,0.243648330345655,1.93939985645259,"LIS",96,"data","CDEC",NA
2015-02-04,13,20.4444444444444,12.5555555555556,0.810746533461888,6.23651179586067,"LIS",96,"data","CDEC",NA
2015-02-05,13.0555555555556,13.2222222222222,12.7777777777778,0.103229212461363,0.790691840129586,"LIS",96,"data","CDEC",NA
2015-02-06,12.7013888888889,12.7777777777778,12.6666666666667,0.0353668236589684,0.278448474953059,"LIS",96,"data","CDEC",NA
2015-02-07,13.1947368421053,13.6666666666667,12.7222222222222,0.360485335606668,2.73203884185349,"LIS",95,"data","CDEC",NA
2015-02-08,13.8888888888889,14.2777777777778,13.6111111111111,0.25845042306521,1.86084304606951,"LIS",96,"data","CDEC",NA
2015-02-09,14.25,14.6111111111111,14.0555555555556,0.183815598193003,1.28993402240704,"LIS",96,"data","CDEC",NA
2015-02-10,13.9820601851852,14.3333333333333,13.3333333333333,0.267529645496357,1.91337787102233,"LIS",96,"data","CDEC",NA
2015-02-11,13.5092592592593,13.8333333333333,13.3333333333333,0.150732813945449,1.11577408540839,"LIS",96,"data","CDEC",NA
2015-02-12,13.8478009259259,14.3888888888889,13.5555555555556,0.30034037347542,2.168866920329,"LIS",96,"data","CDEC",NA
2015-02-13,14.3952546296296,15.0555555555556,14.0555555555556,0.37833376627627,2.62818391206189,"LIS",96,"data","CDEC",NA
2015-02-14,14.9803240740741,15.6111111111111,14.6111111111111,0.367806059465108,2.45526103204708,"LIS",96,"data","CDEC",NA
2015-02-15,15.4496527777778,15.7777777777778,15.1111111111111,0.257956950863948,1.66966180129941,"LIS",96,"data","CDEC",NA
2015-02-16,15.7921810699588,16.1111111111111,15.3333333333333,0.278994249932143,1.76666065755077,"LIS",81,"data","CDEC",NA
2015-02-17,15.9184027777778,16.2222222222222,15.4444444444444,0.260073604441311,1.63379208374081,"LIS",96,"data","CDEC",NA
2015-02-18,15.6614035087719,16.1111111111111,15.2777777777778,0.244196317788352,1.55922371613488,"LIS",95,"data","CDEC",NA
2015-02-19,14.890625,15.2777777777778,14.6111111111111,0.174094356684069,1.16915412673456,"LIS",96,"data","CDEC",NA
2015-02-20,14.7925925925926,15.2222222222222,14.5,0.275307366785074,1.86111640039985,"LIS",90,"data","CDEC",NA
2015-02-21,15.1146198830409,15.5555555555556,14.7777777777778,0.283720188122266,1.87712420370299,"LIS",95,"data","CDEC",NA
2015-02-22,14.7951388888889,15.2222222222222,14.2222222222222,0.230025636337169,1.55473793159129,"LIS",96,"data","CDEC",NA
2015-02-23,13.1925925925926,14.1666666666667,12.5,0.415172101051442,3.14700918820577,"LIS",90,"data","CDEC",NA
2015-02-24,12.1984953703704,12.6666666666667,11.7222222222222,0.285761842305183,2.34259909627286,"LIS",96,"data","CDEC",NA
2015-02-25,12.1695906432749,12.7222222222222,11.6111111111111,0.360621455714739,2.96329980428738,"LIS",95,"data","CDEC",NA
2015-02-26,12.5914351851852,13.1666666666667,12,0.437740311178126,3.47649258992464,"LIS",96,"data","CDEC",NA
2015-02-27,13.5023148148148,14.1111111111111,13,0.463615524501971,3.43360031861566,"LIS",96,"data","CDEC",NA
2015-02-28,14.0462962962963,14.6111111111111,13.5555555555556,0.344799540284337,2.45473634480609,"LIS",96,"data","CDEC",NA
2015-03-01,14.0688657407407,14.6666666666667,13.4444444444444,0.379437769470855,2.69700327278038,"LIS",96,"data","CDEC",NA
2015-03-02,13.9936342592593,14.3888888888889,13.5555555555556,0.243814951249252,1.74232759504862,"LIS",96,"data","CDEC",NA
2015-03-03,14.1232638888889,14.6666666666667,13.6111111111111,0.376813623887856,2.66803500134487,"LIS",96,"data","CDEC",NA
2015-03-04,14.3865740740741,14.9444444444444,13.8333333333333,0.391421715669314,2.72074305984141,"LIS",96,"data","CDEC",NA
2015-03-05,14.4947916666667,15.0555555555556,13.8888888888889,0.396219802103513,2.73353223154418,"LIS",96,"data","CDEC",NA
2015-03-06,14.7951388888889,15.3888888888889,14.2222222222222,0.436575999098615,2.95080703450836,"LIS",96,"data","CDEC",NA
2015-03-07,15.21875,15.8888888888889,14.6111111111111,0.473042802690611,3.10828946326479,"LIS",96,"data","CDEC",NA
2015-03-08,15.7564102564103,16.5,15.1111111111111,0.519032102184467,3.29410121809507,"LIS",91,"data","CDEC",NA
2015-03-09,16.2228009259259,16.9444444444444,15.6111111111111,0.464006256236157,2.86021050467691,"LIS",96,"data","CDEC",NA
2015-03-10,16.6417824074074,17.1666666666667,16.0555555555556,0.398410567900901,2.39403783890099,"LIS",96,"data","CDEC",NA
2015-03-11,16.8368055555556,17.1666666666667,16.5,0.234709461918283,1.3940260885227,"LIS",96,"data","CDEC",NA
2015-03-12,17.0150462962963,17.6666666666667,16.5,0.41193052262356,2.42097797120438,"LIS",96,"data","CDEC",NA
