"","date","mean","max","min","sd","cv","n()","method"
"1",1998-01-23,9.52,9.52,9.52,NA,NA,1,"RSTR_logger"
"2",1998-01-24,9.42,9.42,9.42,NA,NA,1,"RSTR_logger"
"3",1998-01-25,9.68,9.68,9.68,NA,NA,1,"RSTR_logger"
"4",1998-01-26,9.68,9.68,9.68,NA,NA,1,"RSTR_logger"
"5",1998-03-26,12.83,12.83,12.83,NA,NA,1,"RSTR_logger"
"6",1998-03-27,12.36,12.36,12.36,NA,NA,1,"RSTR_logger"
"7",1998-03-28,11.94,11.94,11.94,NA,NA,1,"RSTR_logger"
"8",1998-03-29,11.54,11.54,11.54,NA,NA,1,"RSTR_logger"
"9",1998-04-01,11.01,11.01,11.01,NA,NA,1,"RSTR_logger"
"10",1998-04-02,11.21,11.21,11.21,NA,NA,1,"RSTR_logger"
"11",1998-04-03,11.2,11.2,11.2,NA,NA,1,"RSTR_logger"
"12",1998-04-04,11.05,11.05,11.05,NA,NA,1,"RSTR_logger"
"13",1998-04-05,11.41,11.41,11.41,NA,NA,1,"RSTR_logger"
"14",1998-04-06,11.64,11.64,11.64,NA,NA,1,"RSTR_logger"
"15",1998-04-07,11.77,11.77,11.77,NA,NA,1,"RSTR_logger"
"16",1998-04-08,11.96,11.96,11.96,NA,NA,1,"RSTR_logger"
"17",1998-04-09,12.35,12.35,12.35,NA,NA,1,"RSTR_logger"
"18",1998-04-10,12.67,12.67,12.67,NA,NA,1,"RSTR_logger"
"19",1998-04-11,12.75,12.75,12.75,NA,NA,1,"RSTR_logger"
"20",1998-04-12,12.36,12.36,12.36,NA,NA,1,"RSTR_logger"
"21",1998-04-13,12.14,12.14,12.14,NA,NA,1,"RSTR_logger"
"22",1998-04-14,11.96,11.96,11.96,NA,NA,1,"RSTR_logger"
"23",1998-04-15,11.84,11.84,11.84,NA,NA,1,"RSTR_logger"
"24",1998-04-16,12.2,12.2,12.2,NA,NA,1,"RSTR_logger"
"25",1998-04-17,12.56,12.56,12.56,NA,NA,1,"RSTR_logger"
"26",1998-04-18,13.22,13.22,13.22,NA,NA,1,"RSTR_logger"
"27",1998-04-19,13.85,13.85,13.85,NA,NA,1,"RSTR_logger"
"28",1998-04-20,14.61,14.61,14.61,NA,NA,1,"RSTR_logger"
"29",1998-04-21,15.25,15.25,15.25,NA,NA,1,"RSTR_logger"
"30",1998-04-22,15.7,15.7,15.7,NA,NA,1,"RSTR_logger"
"31",1998-04-23,15.48,15.48,15.48,NA,NA,1,"RSTR_logger"
"32",1998-04-24,14.86,14.86,14.86,NA,NA,1,"RSTR_logger"
"33",1998-04-25,14.48,14.48,14.48,NA,NA,1,"RSTR_logger"
"34",1998-04-26,14.36,14.36,14.36,NA,NA,1,"RSTR_logger"
"35",1998-04-27,14.69,14.69,14.69,NA,NA,1,"RSTR_logger"
"36",1998-04-28,15.13,15.13,15.13,NA,NA,1,"RSTR_logger"
"37",1998-04-29,15.72,15.72,15.72,NA,NA,1,"RSTR_logger"
"38",1998-04-30,16.32,16.32,16.32,NA,NA,1,"RSTR_logger"
"39",1998-05-01,16.23,16.23,16.23,NA,NA,1,"RSTR_logger"
"40",1998-05-02,15.76,15.76,15.76,NA,NA,1,"RSTR_logger"
"41",1998-05-03,15.48,15.48,15.48,NA,NA,1,"RSTR_logger"
"42",1998-05-04,15.29,15.29,15.29,NA,NA,1,"RSTR_logger"
"43",1998-05-05,14.78,14.78,14.78,NA,NA,1,"RSTR_logger"
"44",1998-05-06,14.38,14.38,14.38,NA,NA,1,"RSTR_logger"
"45",1999-01-14,7.84461538461538,7.93,7.62,0.103811960182452,1.32335309116678,13,"RSTR_logger"
"46",1999-01-15,8.17041666666667,8.54,7.77,0.27882485022223,3.41261482244558,24,"RSTR_logger"
"47",1999-01-16,8.97,9.31,8.54,0.298678247705075,3.32974635122715,24,"RSTR_logger"
"48",1999-01-17,9.4575,9.77,9.31,0.166974353667288,1.76552316856767,24,"RSTR_logger"
"49",1999-01-18,9.9825,10.24,9.77,0.152607766626678,1.52875298398876,24,"RSTR_logger"
"50",1999-01-19,10.4520833333333,10.71,10.24,0.15901816047961,1.52140157524841,24,"RSTR_logger"
"51",1999-01-20,10.67875,10.87,10.24,0.152808846204206,1.43096192161261,24,"RSTR_logger"
"52",1999-01-21,9.81125,10.24,9.62,0.154871966756274,1.5785141216081,24,"RSTR_logger"
"53",1999-01-22,9.67625,9.77,9.62,0.0741803032570262,0.766622433866696,24,"RSTR_logger"
"54",1999-01-23,9.61833333333333,9.77,9.31,0.111381313968947,1.15801054204416,24,"RSTR_logger"
"55",1999-01-24,9.05875,9.31,9,0.110780334936737,1.22290972746502,24,"RSTR_logger"
"56",1999-01-25,8.86666666666667,9,8.69,0.114461562436315,1.29091987710129,24,"RSTR_logger"
"57",1999-01-26,8.47708333333333,8.69,8.23,0.140045929319065,1.65205323355004,24,"RSTR_logger"
"58",1999-01-27,8.12375,8.23,8.08,0.0696458432231306,0.857311502977451,24,"RSTR_logger"
"59",1999-01-28,8.01125,8.08,7.93,0.0763466066556079,0.952992437579752,24,"RSTR_logger"
"60",1999-01-29,8.08,8.08,8.08,0,0,24,"RSTR_logger"
"61",1999-01-30,8.08,8.08,8.08,0,0,24,"RSTR_logger"
"62",1999-01-31,8.06125,8.23,7.93,0.101951075223023,1.26470553850858,24,"RSTR_logger"
"63",1999-02-01,8.155,8.23,8.08,0.0766130877682876,0.939461529960607,24,"RSTR_logger"
"64",1999-02-02,8.12375,8.23,8.08,0.0696458432231306,0.857311502977451,24,"RSTR_logger"
"65",1999-02-03,8.31,8.39,8.23,0.0817206269528399,0.983401046363898,24,"RSTR_logger"
"66",1999-02-04,8.64708333333333,8.85,8.39,0.114112041305966,1.3196593221911,24,"RSTR_logger"
"67",1999-02-05,8.71166666666667,8.85,8.54,0.10589850213116,1.2155940554562,24,"RSTR_logger"
"68",1999-02-06,8.59625,8.69,8.54,0.0741803032570262,0.862937946860855,24,"RSTR_logger"
"69",1999-02-07,8.53375,8.69,8.39,0.112590543274213,1.31935600731464,24,"RSTR_logger"
"70",1999-02-08,8.77,8.85,8.69,0.0817206269528399,0.931820147694868,24,"RSTR_logger"
"71",1999-02-09,8.98958333333333,9.16,8.85,0.110904548331345,1.23370065351207,24,"RSTR_logger"
"72",1999-02-10,8.65458333333333,8.85,8.39,0.130283275534729,1.50536739340113,24,"RSTR_logger"
"73",1999-02-11,8.60375,8.85,8.54,0.110485588279157,1.28415619095344,24,"RSTR_logger"
"74",1999-02-12,8.415,8.54,8.39,0.0571040240720155,0.678598028187944,24,"RSTR_logger"
"75",1999-02-13,8.36333333333333,8.39,8.23,0.0609109590101505,0.728309593584901,24,"RSTR_logger"
"76",1999-02-14,8.27625,8.54,8.23,0.0866684085666642,1.0471941829532,24,"RSTR_logger"
"77",1999-02-15,8.20583333333333,8.39,8.08,0.0865230136094323,1.05440861512459,24,"RSTR_logger"
"78",1999-02-16,8.5025,8.54,8.39,0.0663488802697031,0.78034554859986,24,"RSTR_logger"
"79",1999-02-17,8.71,8.85,8.69,0.0540531139753741,0.620586842426799,24,"RSTR_logger"
"80",1999-02-18,8.89916666666667,9,8.69,0.0973972888948045,1.09445403758559,24,"RSTR_logger"
"81",1999-02-19,8.95041666666667,9.16,8.85,0.0857437621849148,0.957986263413228,24,"RSTR_logger"
"82",1999-02-20,9.02041666666667,9.16,8.85,0.0706786460997434,0.783540813152497,24,"RSTR_logger"
"83",1999-02-21,8.83583333333333,9,8.69,0.0787354771517825,0.891092828276327,24,"RSTR_logger"
"84",1999-02-22,9.02291666666667,9.16,8.85,0.132023685841551,1.46320409152492,24,"RSTR_logger"
"85",1999-02-23,9.31666666666667,9.62,9.16,0.144091355884313,1.5465977375776,24,"RSTR_logger"
"86",1999-02-24,9.74125,9.93,9.62,0.128750263824128,1.32170166892471,24,"RSTR_logger"
"87",1999-02-25,9.85,9.93,9.77,0.0817206269528399,0.829651035054213,24,"RSTR_logger"
"88",1999-02-26,9.76583333333333,9.93,9.62,0.106848802832164,1.09410840002216,24,"RSTR_logger"
"89",1999-02-27,9.85,10.09,9.77,0.0943628519391343,0.957998496844003,24,"RSTR_logger"
"90",1999-02-28,10.01,10.09,9.93,0.0817206269528399,0.816389879648751,24,"RSTR_logger"
"91",1999-03-01,10.0945833333333,10.24,9.93,0.0965482157836929,0.956435868579944,24,"RSTR_logger"
"92",1999-03-02,10.34,10.4,10.24,0.0791256568074945,0.765238460420643,24,"RSTR_logger"
"93",1999-03-03,10.5891666666667,10.87,10.4,0.137015285299842,1.2939194330669,24,"RSTR_logger"
"94",1999-03-04,10.6241666666667,10.87,10.56,0.119888232974704,1.12844834551451,24,"RSTR_logger"
"95",1999-03-05,10.3920833333333,10.71,10.24,0.164130890679855,1.5793838965224,24,"RSTR_logger"
"96",1999-03-06,10.1079166666667,10.24,9.93,0.0823554948757635,0.814762305543643,24,"RSTR_logger"
"97",1999-03-07,9.95666666666667,10.09,9.77,0.0903455524117249,0.907387536776614,24,"RSTR_logger"
"98",1999-03-08,9.78125,10.09,9.46,0.214401340440326,2.19196258597139,24,"RSTR_logger"
"99",1999-03-09,9.24125,9.46,9.16,0.108159001313887,1.17039362979994,24,"RSTR_logger"
"100",1999-03-10,9.235,9.31,9.16,0.0766130877682876,0.829594886500136,24,"RSTR_logger"
"101",1999-03-11,9.22875,9.31,9.16,0.0763466066556079,0.827269203907441,24,"RSTR_logger"
"102",1999-03-12,9.29125,9.46,9.16,0.08050452323236,0.866455248027553,24,"RSTR_logger"
"103",1999-03-13,9.55375,9.93,9.31,0.157943647077601,1.65321101219522,24,"RSTR_logger"
"104",1999-03-14,9.96208333333333,10.24,9.77,0.153961575292885,1.54547568155475,24,"RSTR_logger"
"105",1999-03-15,10.2470833333333,10.4,10.09,0.0561426108550644,0.547888692116271,24,"RSTR_logger"
"106",1999-03-16,10.3141666666667,10.56,10.09,0.123038229006685,1.19290518548939,24,"RSTR_logger"
"107",1999-03-17,10.5575,10.87,10.4,0.145490175971946,1.37807412713186,24,"RSTR_logger"
"108",1999-03-18,10.9583333333333,11.18,10.71,0.16507354531335,1.50637455799255,24,"RSTR_logger"
"109",1999-03-19,11.20375,11.33,11.02,0.0979712690803657,0.874450689102896,24,"RSTR_logger"
"110",1999-03-20,11.4508333333333,11.64,11.18,0.128127540625217,1.11893638563613,24,"RSTR_logger"
"111",1999-03-21,11.5141666666667,11.64,11.33,0.0923564299057059,0.802111282382913,24,"RSTR_logger"
"112",1999-03-22,11.5591666666667,11.79,11.33,0.163996730260794,1.41875911118847,24,"RSTR_logger"
"113",1999-03-23,11.5716666666667,11.79,11.48,0.120926375972312,1.04502125282136,24,"RSTR_logger"
"114",1999-03-24,11.60375,11.79,11.33,0.164073485657043,1.41396949828326,24,"RSTR_logger"
"115",1999-03-25,11.515,11.64,11.33,0.112481882599126,0.976829201902959,24,"RSTR_logger"
