inund_factor,chla_5,chla_95,chla_mean,wt_5,wt_95,wt_mean,Q_5,Q_95,Q_mean,n
none,1.1,22.5,6.1,7.6,18.6,12.2,96,42150,12284,516
short,1,13.4,4.8,8.6,15.6,11.1,3939,153000,53869,71
long,0.9,21.5,6.5,9.3,16.4,12.5,7148,208867,67315,72
