region,chla_5,chla_95,chla_mean,wt_5,wt_95,wt_mean,Q_5,Q_95,Q_mean,n
downstream,0.9,7.1,2.9,8,16.5,11.9,5414,101150,31820,278
upstream,1.3,6.2,3.4,7.9,17.1,11.7,7104,61870,26331,144
yolo,1.5,32.4,11.3,7.5,19.4,12.8,88,54069,10009,237
