chlorophyll,WTmwk,Q_sday,inund_factor,region,water_year
2.8,12.905357142857143,11200,none,downstream,2010
3.01,12.5523706096451,18200,none,upstream,2010
8.12,13.508262983517357,154,none,yolo,2010
1.76,11.459443704706317,25600,none,upstream,2010
5.51,12.641428571428571,1931,none,yolo,2010
0.8,11.747851966873714,15600,none,downstream,2010
1.87,12.026449561403515,15800,none,upstream,2010
10.15,13.382857142857157,104,none,yolo,2010
2.88,14.765997023809527,11900,none,upstream,2010
1.8,15.244927536231872,8090,none,downstream,2010
1.74,13.8970238095238,9660,none,downstream,2010
2.95,13.4640476190476,12700,none,upstream,2010
16.1,13.891428571428571,179,none,yolo,2010
1.5,13.6404761904762,14300,none,downstream,2010
11.53,15.966235119047615,18000,none,upstream,2010
3.61,17.441979783790828,182,none,yolo,2010
0.94,11.589285714285714,27500,none,downstream,2011
2.6,11.607142857142858,32500,none,downstream,2011
1.4,7.692261904761906,25700,none,downstream,2011
1.05,7.89608630952381,27900,none,upstream,2011
3.17,6.803700940529948,1746,none,yolo,2011
1.05,7.557142857142857,19700,none,downstream,2011
2.17,9.773229166666669,19600,none,upstream,2011
4.29,10.492390735558445,94,none,yolo,2011
3.2,9.960520833333334,15700,none,upstream,2011
4.25,10.262058371735783,94,none,yolo,2011
2.3,9.65833333333334,9300,none,downstream,2011
1.86,10.097619047619052,8660,none,downstream,2011
1.5,10.097619047619052,8660,none,downstream,2011
1.86,8.771339285714285,26600,none,upstream,2011
3.93,9.501721030613773,1954,none,yolo,2011
2.35,10.812559523809524,33000,none,upstream,2011
5.66,13.013133640553,2379,none,yolo,2011
1.91,11.889015151515142,27000,none,downstream,2011
1.85,9.470788690476194,64300,short,upstream,2011
6.17,10.820850481129172,58524,short,yolo,2011
2,10.0875,149000,short,downstream,2011
4.66,12.95290413533833,60000,short,upstream,2011
4.17,12.5774255952381,43800,none,upstream,2011
16.4,15.076742876221983,3543,none,yolo,2011
9.29,13.130952380952372,47200,none,downstream,2011
6.2,14.052976190476183,30900,none,downstream,2011
3.18,14.016741071428555,37700,none,upstream,2011
10.15,18.574891774891785,1385,none,yolo,2011
1.99,9.00096726190476,15200,none,upstream,2012
4.33,7.516966904063678,96,none,yolo,2012
1.37,8.593129251700681,14800,none,downstream,2012
1.29,8.593129251700681,14800,none,downstream,2012
4.29,7.623988095238095,10700,none,upstream,2012
8.53,6.434914889160124,65,none,yolo,2012
2.5,8.949404761904763,10200,none,downstream,2012
4.18,9.034776785714286,11200,none,upstream,2012
3.86,8.827478732447675,89,none,yolo,2012
1.79,8.465476190476192,8810,none,downstream,2012
2.51,8.465476190476192,8810,none,downstream,2012
5.98,7.998735119047619,26400,none,upstream,2012
