StationCode,StationName,Latitude,Longitude
SHR,Sacramento River at Sherwood Harbor,38.53188,-121.528
STTD,Screw Trap in Toe Drain,38.35338,-121.643
LIS,Toe Drain at Lisbon Weir,38.474816,-121.588584
