Year,Month,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
1996,12,12/14/1996,82500,25365,2570,2050,6005,12400,23025,130890,100,5165,4109,24,9397,2200,8252,0,-6052,11802,29363,97758,127545,0.07,3,124034,-3,68.7
1996,12,12/15/1996,80100,30565,1560,2310,5106,12800,21776,132441,102,6677,4101,21,10901,2200,5960,0,-3760,11482,24801,100235,125300,0.08,5,124685,0,67.5
1996,12,12/16/1996,78200,26265,1130,2350,3767,13200,20447,124912,96,5483,4130,19,9727,2200,2063,0,137,11230,21860,93197,115048,0.08,8,116311,1,66.42
1996,12,12/17/1996,75400,20165,900,2360,3267,13700,20227,115792,45,2166,4071,17,6298,2200,2063,0,137,10857,24697,84669,109357,0.05,6,109436,0,65.44
1996,12,12/18/1996,72400,10865,742,2380,2710,14100,19932,103197,0,893,3838,31,4762,2150,229,0,1921,10458,24380,72269,96515,0.05,6,97629,1,64.58
1996,12,12/19/1996,69600,5205,622,2400,2032,14300,19354,94159,53,806,4245,21,5125,2150,0,0,2150,10086,22918,64117,86884,0.05,8,88131,1,63.85
1996,12,12/20/1996,66600,2535,540,2410,1355,14400,18705,87840,119,394,4109,30,4652,2150,0,0,2150,9687,22343,58846,81038,0.05,8,82285,2,63.2
1996,12,12/21/1996,63900,1455,7460,2560,2569,14600,27189,92544,100,2167,3947,28,6242,2100,0,0,2100,9328,28910,55439,84202,0.07,9,85420,1,62.56
1996,12,12/22/1996,64400,1334,6630,2730,3939,15500,28799,94533,104,3077,4129,31,7341,2100,10315,0,-8215,9394,36192,58640,95407,0.08,-1,90642,-5,61.87
1996,12,12/23/1996,67500,1160,2400,2600,4375,18100,27475,96135,109,1255,4115,27,5506,2050,21548,0,-19498,9807,44449,64313,110127,0.06,-15,98818,-11,61.13
1996,12,12/24/1996,65800,50,1300,2510,6424,18700,28934,94784,106,2099,4099,20,6324,2050,22465,0,-20415,9580,45459,61986,108874,0.07,-15,97034,-12,60.44
1996,12,12/25/1996,62100,50,954,2480,6216,18100,27750,89900,105,1191,4087,14,5397,2000,22465,0,-20465,9088,44743,58792,104967,0.06,-17,93098,-13,59.81
1996,12,12/26/1996,58000,50,956,2480,6083,18100,27619,85669,100,940,4094,24,5158,2000,22465,0,-20465,8543,44306,55237,100975,0.06,-18,89106,-13,59.24
1996,12,12/27/1996,66500,98,4690,2510,6217,18400,31817,98415,101,751,4112,24,4988,1950,13525,0,-11575,9674,44026,60165,105001,0.05,-7,98288,-7,58.67
1996,12,12/28/1996,81900,2269,3530,2760,7183,17700,31173,115342,97,1517,4104,20,5739,1950,2522,0,-572,11722,37528,72607,110175,0.05,4,109843,0,58.11
1996,12,12/29/1996,89400,24658,2660,2960,6127,18500,30247,144305,91,569,4051,23,4734,1900,1605,0,295,12719,38040,101256,139275,0.03,3,139447,0,57.42
1996,12,12/30/1996,94000,52097,7400,3000,4771,19900,35071,181168,91,759,3869,19,4738,1850,2751,0,-901,13331,44250,133018,177331,0.03,2,176809,0,56.62
1996,12,12/31/1996,96400,90600,9250,3020,7250,20700,40220,227220,91,0,4114,18,4223,1800,3897,0,-2097,13650,51011,173937,225094,0.02,1,223878,-1,55.71
1997,1,1/1/1997,94900,167813,25300,3100,6265,21100,55765,318478,66,686,3882,9,4643,1700,2522,0,-822,13451,65107,249492,314657,0.01,1,314180,0,54.63
1997,1,1/2/1997,106000,358527,61600,3680,3561,21800,90641,555168,79,374,3869,11,4333,1650,8023,0,-6373,14927,105377,451384,557208,0.01,0,553512,-1,53.24
1997,1,1/3/1997,113000,395140,19100,4250,5699,24700,53749,561889,74,1815,3921,17,5828,1600,13066,442,-11024,15858,70790,495493,567086,0.01,-1,560250,-1,51.92
1997,1,1/4/1997,103000,388647,8520,4360,8413,44900,66193,557840,71,0,3908,14,3993,1550,11920,3876,-6494,14528,79593,480023,560341,0.01,0,552699,-1,50.67
1997,1,1/5/1997,98300,308350,5580,4540,9244,54300,73664,480314,78,0,3761,19,3858,1500,11003,3434,-6069,13903,86452,395408,482525,0.01,0,475571,-1,49.59
1997,1,1/6/1997,93700,229550,4090,4540,9623,41400,59653,382903,81,0,3762,17,3860,1450,11232,0,-9782,13291,75443,312698,388826,0.01,-2,383152,-1,48.71
1997,1,1/7/1997,86800,200852,3220,4640,10767,37900,56527,344179,73,0,3761,18,3852,1450,5502,0,-4052,12373,67682,276413,344379,0.01,0,342029,-1,47.96
1997,1,1/8/1997,84300,182555,2680,4660,9881,33700,50921,317776,81,0,3916,14,4011,1450,458,13121,14113,12041,45186,254536,299653,0.01,6,294717,-2,47.34
1997,1,1/9/1997,84300,153255,2280,4690,9508,32700,49178,286733,79,0,3774,18,3871,1350,458,18929,19821,12041,37839,225264,263041,0.01,8,262505,0,46.84
1997,1,1/10/1997,84500,124952,2020,4670,9073,31700,47463,256915,78,0,3766,18,3862,1300,229,12605,13676,12068,42368,197085,239378,0.01,7,234705,-2,46.42
1997,1,1/11/1997,83800,102050,1840,4930,8107,29800,44677,230527,73,1415,3756,16,5259,1300,0,9827,11127,11974,40720,173512,214141,0.02,7,210767,-2,46.1
1997,1,1/12/1997,81400,79250,1780,4990,5916,28100,40786,201436,58,3586,3748,19,7411,1250,0,7378,8628,11655,36839,148645,185397,0.04,8,183023,-1,45.89
1997,1,1/13/1997,80800,61390,1710,4970,3469,26700,36849,179039,75,1567,2615,16,4272,1250,1834,4347,3763,11575,40185,130778,171004,0.02,4,168839,-1,45.75
1997,1,1/14/1997,80900,49701,1460,4980,3468,25600,35508,166109,77,0,3601,20,3698,1200,1834,0,-634,11589,43810,119190,163045,0.02,2,162677,0,45.64
1997,1,1/15/1997,79100,44057,1360,4990,3288,25400,35038,158195,80,0,3641,15,3736,1200,1834,0,-634,11349,43063,111985,155093,0.02,2,154725,0,45.57
1997,1,1/16/1997,76400,39504,1290,4980,3368,25700,35338,151242,78,0,3083,19,3180,1150,3209,0,-2059,10990,44487,105490,150121,0.02,1,148927,-1,45.53
1997,1,1/17/1997,73800,35451,1200,4970,3320,25900,35390,144641,87,0,2289,18,2394,1150,3209,0,-2059,10644,44979,99183,144306,0.02,0,143112,-1,45.51
1997,1,1/18/1997,71500,31412,1140,4970,3368,25900,35378,138290,77,0,1331,17,1425,1100,1375,0,-275,10339,44471,92651,137141,0.01,1,136981,0,45.53
1997,1,1/19/1997,70100,28284,1100,4960,2699,26100,34859,133243,77,0,298,20,395,1100,1375,0,-275,10152,44795,88309,133123,0,0,132964,0,45.57
1997,1,1/20/1997,69400,24770,1320,4940,2268,26400,34928,129098,82,0,0,17,99,1100,1375,0,-275,10059,45067,84188,129274,0,0,129115,0,45.62
1997,1,1/21/1997,69100,21658,1660,4920,2542,26700,35822,126580,82,0,0,15,97,1050,2063,0,-1013,10019,46403,81022,127496,0,-1,126908,0,45.68
1997,1,1/22/1997,76500,21692,6560,4970,3070,26700,41300,139492,79,2514,0,21,2614,1050,4126,0,-3076,11004,51689,88050,139954,0.02,0,138170,-1,45.67
1997,1,1/23/1997,93100,58449,11900,5020,6259,26900,50079,201628,91,1033,0,18,1142,1000,12837,0,-11837,13211,69843,141652,212323,0.01,-5,205458,-3,45.4
1997,1,1/24/1997,92600,71836,4500,4990,10589,28000,48079,212515,86,551,0,15,652,1000,12837,0,-11837,13145,68266,154606,223700,0,-5,216835,-3,45.11
1997,1,1/25/1997,93500,86012,7290,4830,5868,29000,46988,226500,75,0,0,16,91,1000,14900,0,-13900,13265,69196,170139,240309,0,-6,232247,-3,44.79
1997,1,1/26/1997,97500,115723,14500,4950,5598,30000,55048,268271,70,0,0,19,89,1000,13983,0,-12983,13797,77194,203062,281165,0,-5,273635,-3,44.38
1997,1,1/27/1997,96800,119925,9580,4970,5457,31500,51507,268232,71,0,0,19,90,950,15817,0,-14867,13703,74784,207184,283009,0,-6,274386,-3,43.99
1997,1,1/28/1997,95100,115630,5710,4940,8864,32600,52114,262844,72,1236,0,16,1324,950,7106,0,-6156,13477,68269,198976,267676,0,-2,264106,-1,43.66
1997,1,1/29/1997,94600,116190,4300,4920,11042,33300,53562,264352,54,1398,0,19,1471,950,7106,0,-6156,13411,69504,199103,269037,0.01,-2,265467,-1,43.35
1997,1,1/30/1997,90400,109626,3460,4910,10616,33600,52586,252612,39,2264,0,16,2319,950,5043,0,-4093,12852,65779,188320,254386,0.01,-1,252012,-1,43.08
1997,1,1/31/1997,85200,99916,2950,4910,9080,33600,50540,235656,51,1075,0,14,1140,900,3897,0,-2997,12161,63508,173795,237512,0,-1,235774,-1,42.88
1997,2,2/1/1997,81900,88371,2700,4890,7142,33600,48332,218603,65,1128,0,18,1211,900,0,0,900,11722,58258,158297,216492,0.01,1,217014,0,42.75
1997,2,2/2/1997,79400,77216,2490,4880,6072,33800,47242,203858,64,2368,0,17,2449,900,0,0,900,11389,55597,144975,200509,0.01,2,201031,0,42.67
1997,2,2/3/1997,78300,67082,2210,4880,5326,34100,46516,191898,62,1405,0,19,1486,900,0,0,900,11243,55688,133887,189512,0.01,1,190034,0,42.64
1997,2,2/4/1997,78200,57162,2020,4880,4533,34500,45933,181295,66,1227,0,20,1313,900,0,0,900,11230,55264,123880,179082,0.01,1,179604,0,42.64
1997,2,2/5/1997,77300,48441,1860,4870,4236,35600,46566,172307,65,1173,0,16,1254,900,229,0,671,11110,55986,114443,170382,0.01,1,170772,0,42.68
1997,2,2/6/1997,76600,40914,1690,4860,3547,37600,47697,165211,61,1177,0,20,1258,900,229,0,671,11017,57019,106309,163282,0.01,1,163671,0,42.74
1997,2,2/7/1997,75500,35690,1570,4850,2914,39700,49034,160224,66,1168,0,16,1250,900,229,0,671,10871,58218,100132,158303,0.01,1,158692,0,42.82
1997,2,2/8/1997,74200,30952,1600,4850,2827,40800,50077,155229,69,559,2556,19,3203,900,1146,0,-246,10698,57731,94523,152272,0.02,2,152129,0,42.92
1997,2,2/9/1997,72000,26813,1450,4840,2801,41000,50091,148904,72,1117,3778,18,4985,900,1146,0,-246,10405,55671,88477,144165,0.03,3,144022,0,43.04
1997,2,2/10/1997,70300,23075,1340,4840,2783,40500,49463,142838,82,1693,1091,17,2883,850,917,0,-67,10179,56803,83215,140022,0.02,2,139983,0,43.18
1997,2,2/11/1997,68700,18836,1260,4820,2753,39900,48733,136269,82,1694,0,20,1796,850,917,0,-67,9966,56947,77589,134540,0.01,1,134501,0,43.34
1997,2,2/12/1997,67200,13093,1180,4770,2413,38600,46963,127256,73,1701,0,15,1789,850,917,0,-67,9767,54984,70545,125534,0.01,1,125495,0,43.54
1997,2,2/13/1997,65400,7485,1120,4730,2180,35300,43330,116215,73,2540,0,19,2632,850,0,-12,838,9527,49685,63120,112745,0.02,3,113243,0,43.79
1997,2,2/14/1997,62900,5440,1060,4680,2031,32600,40371,108711,71,2568,0,20,2659,850,0,-12,838,9195,46366,58907,105214,0.02,3,105712,0,44.07
1997,2,2/15/1997,59100,4890,1020,4640,1912,31500,39072,103062,75,2960,0,18,3053,850,0,-12,838,8689,44168,55063,99171,0.03,4,99669,0,44.38
1997,2,2/16/1997,53900,4540,995,4600,1776,30900,38271,96711,74,2774,0,18,2866,850,0,-12,838,7998,42863,50204,93007,0.03,4,93505,1,44.71
1997,2,2/17/1997,48500,4350,1100,4560,1751,30700,38111,90961,72,2868,0,18,2958,850,0,-12,838,7280,41892,45332,87165,0.03,4,87663,1,45.07
1997,2,2/18/1997,43600,4190,1080,4510,1701,30800,38091,85881,75,3137,0,17,3229,850,458,-12,380,6628,41247,41053,82272,0.04,4,82504,0,45.44
1997,2,2/19/1997,40800,3993,977,4330,1538,31600,38445,83238,88,2993,0,20,3101,850,458,-12,380,6255,41356,38428,79757,0.04,4,79989,0,45.81
1997,2,2/20/1997,39000,3798,941,4140,1743,33700,40524,83322,81,2916,0,19,3016,850,458,-12,380,6016,43282,36672,79927,0.03,4,80159,0,46.16
1997,2,2/21/1997,37500,3396,899,3930,1709,35300,41838,82734,80,4291,0,17,4388,900,458,-12,430,5817,42992,34956,77917,0.05,6,78178,0,46.51
1997,2,2/22/1997,37200,2820,862,3700,1667,35400,41629,81649,78,1284,0,18,1380,900,458,-2249,-1807,5777,47987,34120,82076,0.02,-1,83277,1,46.8
1997,2,2/23/1997,36800,2380,831,3480,1626,35400,41337,80517,84,620,0,19,723,900,0,-2249,-1349,5723,48001,33205,81143,0.01,-1,82609,2,47.09
1997,2,2/24/1997,35800,1956,788,3270,1544,35100,40702,78458,83,132,0,20,235,900,0,-229,671,5590,45702,31914,77552,0,1,78171,1,47.39
1997,2,2/25/1997,34800,1732,754,3080,1289,34700,39823,76355,82,156,616,18,871,900,0,-229,671,5457,44053,30823,74813,0.01,2,75431,1,47.69
1997,2,2/26/1997,36700,1450,733,2900,1191,33800,38624,76774,85,680,892,20,1677,900,0,-514,386,5710,42586,32188,74711,0.02,3,75449,1,47.98
1997,2,2/27/1997,36900,1345,725,2700,1162,32900,37487,75732,80,768,2940,19,3807,893,0,-514,379,5737,39351,32258,71546,0.05,6,72280,1,48.29
1997,2,2/28/1997,36700,1220,720,2510,1128,32200,36558,74478,81,688,3720,18,4507,900,229,-514,157,5710,37839,32022,69814,0.06,6,70419,1,48.59
1997,3,3/1/1997,37200,1130,682,2330,1070,31300,35382,73712,84,548,3716,20,4367,950,229,-514,207,5777,36837,32352,69138,0.06,6,69772,1,48.88
1997,3,3/2/1997,36400,1660,672,2150,1064,29900,33786,71846,90,914,3716,19,4738,993,229,-4487,-3723,5670,38708,32176,70831,0.06,1,73158,3,49.14
1997,3,3/3/1997,35600,2050,696,2080,1252,28500,32528,70178,85,1092,4321,20,5517,993,458,-4487,-3953,5564,36714,31937,68613,0.08,2,70808,3,49.4
1997,3,3/4/1997,34300,1740,650,2050,1200,27400,31300,67340,62,0,3819,16,3897,986,458,-2214,-1687,5391,34666,30501,65130,0.06,3,66366,2,49.69
1997,3,3/5/1997,32500,1280,591,2040,1182,26300,30113,63893,105,0,4235,21,4361,1029,229,-2214,-1414,5152,32598,28405,60947,0.07,5,62341,2,50
1997,3,3/6/1997,30200,75,566,2030,1158,24300,28054,58329,125,532,3715,24,4396,1031,229,-2214,-1412,4846,30197,25205,55345,0.07,5,56740,2,50.36
1997,3,3/7/1997,27600,80,576,2030,1126,22000,25732,53412,138,2452,4142,33,6765,1029,229,-2214,-1414,4500,25161,22956,48061,0.12,10,49455,3,50.79
1997,3,3/8/1997,25300,93,567,2020,1095,20000,23682,49075,139,2953,4138,31,7261,1100,0,-2214,-1114,4194,22114,20891,42928,0.14,13,44496,4,51.26
1997,3,3/9/1997,24200,100,557,2010,1016,18400,21983,46283,134,3216,4221,28,7599,1081,0,-1367,-286,4048,19096,19950,38970,0.16,16,40171,3,51.78
1997,3,3/10/1997,23700,100,552,2000,884,16800,20236,44036,121,2220,4309,24,6674,1093,0,-1367,-274,3981,18199,19513,37635,0.15,15,38844,3,52.29
1997,3,3/11/1997,23000,100,562,1990,824,15300,18676,41776,112,2705,4392,19,7228,1128,0,-1252,-124,3888,15855,18896,34672,0.17,17,35852,3,52.82
